framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
CIS Controls v8,v8,CIS 1 - Inventory and Control of Enterprise Assets,CIS 1,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 1 - Inventory and Control of Enterprise Assets,CIS 1,Endpoint Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Endpoint Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Malware Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"malware, malicious code, anti-malware, malicious activity",Malware detection and protection telemetry aligns to Malware with Endpoint as supporting context.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Malware Monitoring: Malware detection and protection telemetry aligns to Malware with Endpoint as supporting context.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Malware Monitoring,Malware,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"malware, malicious code, anti-malware, malicious activity",Malware detection and protection telemetry aligns to Malware with Endpoint as supporting context.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Malware Monitoring: Malware detection and protection telemetry aligns to Malware with Endpoint as supporting context.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Network Monitoring,Network_Resolution,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Network Monitoring,Network_Sessions,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
