framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
CIS Controls v8,v8,CIS 1 - Inventory and Control of Enterprise Assets,CIS 1,Endpoint Monitoring,Compute_Inventory,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"asset, inventory, device, host",Asset inventory telemetry is primary potential evidence for enterprise asset inventory controls.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 1 maps to Compute_Inventory as primary evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 1 - Inventory and Control of Enterprise Assets,CIS 1,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"asset, inventory, device, host",Endpoint host telemetry can support asset discovery and inventory validation as secondary evidence.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 1 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Malware Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"malware, process, file",Endpoint process/file telemetry can support malware investigations as secondary host context.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 10 maps to Endpoint as supporting evidence; grouped under Malware Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 10 - Malware Defenses,CIS 10,Malware Monitoring,Malware,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"malware, antivirus, EDR",Malware detection/protection events are primary potential evidence for malware-defense controls.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 10 maps to Malware as primary evidence; grouped under Malware Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Change Monitoring,Change,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"network device, configuration, change",Network device/configuration change events are primary potential evidence for infrastructure management.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 12 maps to Change as primary evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Network Monitoring,Network_Sessions,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"session, connection, network",Session telemetry can support potential evidence of network connection management.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 12 maps to Network_Sessions as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Network Monitoring,Network_Traffic,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"network infrastructure, traffic, firewall",Network traffic telemetry is primary potential evidence for network infrastructure visibility.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 12 maps to Network_Traffic as primary evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Alerting and Detection,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"alert, detection, network",Alert outcomes can support potential evidence of network defense detections.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 13 maps to Alerts as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Alerting and Detection,Intrusion_Detection,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"IDS, IPS, intrusion",IDS/IPS events can support potential evidence of network intrusion detection.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 13 maps to Intrusion_Detection as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Network Monitoring,Network_Sessions,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"session, connection",Session telemetry can support potential evidence of connection monitoring for defense.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 13 maps to Network_Sessions as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
